TweetID	Label
1242403784858439680	1
1244708233442463749	2
1242400186221105153	1
1242273690387185668	0
1242421657001586688	5
1245868287717593088	2
1245504889666453511	3
1244843517874188294	0
1242399808809308160	5
1245864697795973127	2
1247555064052539394	1
1242403663563223040	0
1245509507507040257	3
1242400014275502081	0
1242403005325914112	3
1245504349255712770	4
1245502075754160130	3
1242402618858713092	0
1245864467419693056	5
1242401989306310656	4
1242105504421339136	3
1242403399309688832	3
1245506525856063488	5
1242405504577687553	1
1242404691096547334	7
1245506789845504000	3
1245509352749854723	3
1243613247447629824	6
1242405451771215873	1
1242403474408701952	4
1245863619801141249	5
1242015984048902144	1
1245509490650292225	0
1242404787259392000	0
1245509281006473220	1
1245073344216436736	4
1242403198322835457	5
1245506516905611270	4
1245502263843569665	0
1245507653423583241	4
1242421866360377345	3
1245502112974462981	1
1242409774827950080	0
1242400161105678336	7
1242420293403992064	5
1242403653815762945	4
1242402320836521984	7
1245817884011646976	6
1242405873445568512	1
1242404363622105089	7
1242861789504843776	0
1241150976842780672	7
1245509746788089857	3
1243991760360988673	5
1245864677482958850	6
1245865562028179456	2
1245407526318997504	6
1245864454861885440	6
1242406538947551232	1
1245822789908561920	6
1244186359910334465	2
1242404175259897857	0
1245864416622473217	6
1245509168263499779	4
1242421434783281153	4
1239194108750684168	1
1242420730022760449	1
1242407694033539072	1
1245508709759016969	4
1242409602605596672	4
1245864048006062081	5
1244801603300995076	6
1245867050754396160	6
1242402442454630401	1
1245506072242241537	1
1242421447445766146	1
1242419420942815234	2
1242402039923191810	7
1242976342427271169	5
1242400064464658433	4
1242402740262899712	4
1247541921297256454	7
1242419431591952384	5
1245865578738245632	6
1242402724072894467	4
1245515955905662976	2
1242421081920724993	0
1242610132111876096	5
1245864689680056324	6
1245501371161313280	3
1242405315124969472	0
1245509491141087233	4
1245508295370121216	4
1242402002014851072	7
1242403160007868417	7
1242402090288209922	5
1245397875208499200	6
1241952919009681410	5
1234910817050644484	2
1242405335941423107	3
1245057197882724353	2
1242421866758836224	5
1245502280998289408	1
1247367961729536001	4
1243797695048769536	6
1247555942763372548	7
1242399469121024000	7
1245830912610193408	2
1245507783648215043	5
1245208331473416193	0
1245478063141466112	2
1244324038295642112	4
1245863666127261698	6
1242401897249509376	4
1241502927044427777	1
1245502134054834176	4
1242369829446856705	5
1245864660122742787	5
1245382728247361536	5
1242402623036116992	4
1242403453315330049	3
1242399234135068674	2
1245863624154865664	6
1245863607289573378	2
1242400211240136704	4
1242400013516328960	5
1242419995730219009	2
1244359870096293895	3
1242407668737695744	2
1242404350812737537	0
1242402036181843970	5
1242407299664293891	1
1243567926571077633	2
1242404300896206851	5
1245508366622961666	5
1245472226557779970	5
1242399301390794752	3
1245521873166831617	6
1242402849402892288	1
1245505346560503808	1
1242402870693167104	1
1245509298224013314	4
1242420947598131200	5
1242401893831323650	2
1245493662361874433	6
1242399540105244673	4
1245509725590106112	4
1241397374532141056	4
1242554640488706048	0
1242494335523991559	0
1245863586313818112	6
1247163768447983624	1
1242404241970352128	0
1245506529886965761	3
1245502276686565376	0
1242402845401534464	5
1245393064522207232	5
1245373620655927296	2
1242402417578135553	7
\1242409715390283777	5
1245507653608050695	7
1245866103038865408	2
1245449695922737153	1
1245448665780510720	0
1242406857672519682	7
1242409585840754688	5
1242419043895783426	0
1247350874508111872	7
1245501492825489408	1
1241865301173710849	7
1242374650065190912	0
1245509549831991296	7
1242405370448019456	7
1245509520224333825	4
1245502457104363520	1
1245867072417959937	5
1245864559908249602	2
1245865587768606720	5
1245506860670578688	3
1242405353540722688	3
1242399834172059648	0
1245505573640187904	4
1242420520525549568	0
1242399623861288960	1
1242400065324494848	0
1245502624910184454	4
1245507528307478528	1
1245509012524691458	4
1242407036584853504	4
1245505048596975617	1
1242403386315563008	0
1242402912913043459	5
1242403508315394058	5
1245507825826177025	3
1245454004965871616	2
1242419958140866560	1
1242408071391043584	0
1245521274501242881	6
1245868326158397443	5
1245863590587822082	6
1245509633558687744	5
1247505755260895243	4
1245863607172091916	6
1245864434414710786	6
1245504953080152064	4
1245507809107677184	4
1242291274675302400	1
1242401951599427584	0
1243710051187113991	2
1245818768489615361	6
1242402644066533382	7
1245508543127662592	3
1245504778232356869	6
1245503199160631299	3
1245570751203127296	7
1242406947690856448	7
1242404187595554817	1
1242166059110518784	7
1242407626765488128	1
1242420025002098689	5
1245344268694274048	2
1242402748693270531	5
1242402279312863232	6
1242404334471610368	7
1242402115374452738	1
1242403269328150529	5
1242404346634973190	1
1245867113773842433	2
1245505896534417409	4
1245502926866579457	7
1242402006557429765	3
1245508442107678720	5
1245507795912450051	4
1245322179715182594	6
1247146675497570305	1
1245822550174773249	0
1242404741293973506	0
1242403839258607618	5
1245389636576239617	3
1245491598709985285	6
1242403881063190535	0
1242421904557977600	5
1245502075334807552	3
1245502087556812800	2
1242402539603218433	7
1245514850765361159	6
1242421015222685696	1
1242402456069378048	3
1243640311357685761	4
1245465201547382787	7
1242399112667906048	7
1242408465827586049	1
1242421745111318529	1
1242421589854924804	3
1245864668352008192	6
1245864434314006528	2
1242420058925731842	7
1245864043635601413	6
1242402560469880833	3
1245505489405972481	4
1242399536443584514	0
1245507603804884993	3
1242421640367128576	7
1242274499120099328	5
1245864693954039810	6
1242403025882353665	5
1245501333395865600	3
1243852467739086848	6
1242420180031926272	0
1245813402250838016	6
1242409757534797824	0
1245864568473022465	2
1245794733156380680	6
1246998755410313218	7
1245508744173232135	0
1242404975613009920	3
1240997036356513795	1
1242419081346596866	5
1245487901565222912	6
1242403776931209216	0
1242409564508733443	5
1242326805903785989	1
1242399527715381248	3
1247562278863593472	7
1245508173034860545	4
1242419869653614592	5
1242402153383124992	4
1242358322134728704	7
1242400190704660481	7
1242403445606363137	5
1245482573641338882	6
1242403478967812098	3
1239823285317185537	3
1242421388129882112	3
1245866082411245568	2
1242407346141163520	0
1245867629614493699	2
1245502893186220033	3
1242404397470167040	5
1242399502570590208	7
1235182098383683586	1
1245502293266640898	7
1242399242724888577	3
1245702749238501376	5
1245864735762870273	5
1242328955509592064	6
1245864048169639938	2
1242260276319264768	5
1245864672420433920	2
1245864043773964292	2
1245506546592813061	0
1242402602500964353	7
1242404230113058816	0
1242403046363205632	4
1242399397654269952	7
1245863717092253696	6
1242404459940057088	4
1242370514556862464	5
1245502633168654337	1
1242403159873478656	1
1245864651599925248	6
1245446211366203392	2
1245425696677277698	2
1242402879425646594	7
1247519237695922178	5
1243710567421886466	1
1243591677731889153	1
1242403084657135616	3
1245868200329236481	2
1242409636331794433	4
1240244142871019525	2
1242401960550113281	1
1245507074613817350	5
1245581700513452033	6
1242403535427436545	7
1242405269763653632	3
1244763525500882944	2
1245118014241927168	2
1242406116816048131	5
1245501936977227788	1
1242421476327927808	7
1242402342030290945	0
1242419052418605056	7
1242399909803888645	1
1245864706171998208	2
1242403679686160384	0
1245509523193954304	4
1242403047151734785	7
1242403184594780165	1
1245863615833337856	6
1245505019518074881	3
1245396435119595521	2
1242421229274853376	3
1242402987961724929	0
1242420079829995523	4
1242419312586944519	7
1242420314648313857	7
1242242383938453512	0
1242403881386217472	1
1242406187263561730	5
1247148229818568704	0
1242399398090416128	0
1242399557578874881	5
1242404132973133825	3
1238466576707452929	6
1242408746434940933	0
1242403860431409154	5
1245504856179294209	5
1242399850899128320	1
1242402979547840517	1
1242399456437448704	4
1240583084862365696	6
1242405433089941505	2
1242421770390507521	7
1245258836803571712	2
1245507540466761731	4
1245865340199784448	6
1245864664451313664	6
1242420482714058752	0
1245467695547658241	2
1245504386178170880	3
1242402287655383042	1
1245847054062141447	0
1242421833208455168	5
1242404632485298176	1
1242399372186288128	5
1245505544183517184	4
1242285581742166016	0
1245866095308726272	2
1245505753575763968	4
1245388492567281669	0
1242406398375464962	3
1239324554457014273	2
1245864463690956800	6
1245502125427372032	0
1245505774622846976	4
1242402052812279810	3
1242399481896804352	3
1245506840500342784	4
1245504957140406272	4
1245501597137825792	4
1245400261796990978	0
1245472998125166592	0
1245507116787478528	4
1242404992566169605	3
1242402555847532544	5
1242421233569935360	0
1245865570366439430	6
1242420033516601344	3
1242405797851574272	1
1245864672575680513	2
1242421464080338944	5
1242402165303447552	7
1242409543826628608	7
1245502213990100997	4
1242402127823192064	3
1245864727118368769	6
1242070455692992514	4
1242402236996759557	3
1242404531666857984	0
1245508895528935429	1
1242403575432728576	0
1245506438069354500	4
1245863666148184065	6
1245863716945457154	6
1245504625299591168	4
1245502218276491265	1
1242939443817984001	2
1245513858606862341	6
1245505250162692096	7
1242402476403437570	3
1245508593530671105	3
1242403604998193152	1
1245864723452588035	5
1245867076457136129	2
1242484330904993799	0
1242402643919675392	5
